timestamp(ms),GPA[0].HAcc,GPS[0].NSats
161183.34600000002,0.57,22
161283.34600000002,0.57,21
161383.34600000002,0.57,21
161483.34600000002,0.57,21
161583.34600000002,0.57,21
161683.34600000002,0.57,22
161783.34600000002,0.57,22
161883.34600000002,0.57,22
161983.34600000002,0.57,22
162083.34600000002,0.57,22
162183.34600000002,0.57,22
162283.34600000002,0.57,20
162383.34600000002,0.57,20
162483.34600000002,0.57,19
162583.34600000002,0.57,19
162683.34600000002,0.57,20
162783.34600000002,0.57,20
162883.34600000002,0.57,21
162983.34600000002,0.57,21
163083.34600000002,0.57,21
163183.34600000002,0.57,21
163283.34600000002,0.57,20
163383.34600000002,0.57,20
163483.34600000002,0.57,22
163583.34600000002,0.57,22
163683.34600000002,0.57,21
163783.34600000002,0.57,21
163883.34600000002,0.57,20
163983.34600000002,0.57,20
164083.34600000002,0.57,19
164183.34600000002,0.57,19
164283.34600000002,0.57,20
164383.34600000002,0.57,20
164483.34600000002,0.57,20
164583.34600000002,0.57,20
164683.34600000002,0.57,21
164783.34600000002,0.57,21
164883.34600000002,0.57,19
164983.34600000002,0.57,19
165083.34600000002,0.57,19
165183.34600000002,0.57,19
165283.34600000002,0.57,21
165383.34600000002,0.57,21
165483.34600000002,0.57,20
165583.34600000002,0.57,20
165683.34600000002,0.57,21
165783.34600000002,0.57,21
165883.34600000002,0.57,22
165983.34600000002,0.57,22
166083.34600000002,0.57,21
166183.34600000002,0.57,21
166283.34600000002,0.58,21
166383.34600000002,0.58,21
166483.34600000002,0.58,21
166583.34600000002,0.58,21
166683.34600000002,0.58,19
166783.34600000002,0.58,19
166883.34600000002,0.58,18
166983.34600000002,0.58,18
167083.34600000002,0.58,21
167183.34600000002,0.58,21
167283.34600000002,0.58,20
167383.34600000002,0.58,20
167483.34600000002,0.58,21
167583.34600000002,0.58,21
167683.34600000002,0.58,21
167783.34600000002,0.58,21
167883.34600000002,0.58,19
167983.34600000002,0.58,19
168083.34600000002,0.58,19
168183.34600000002,0.58,19
168283.34600000002,0.58,19
168383.34600000002,0.58,19
168483.34600000002,0.58,20
168583.34600000002,0.58,20
168683.34600000002,0.58,20
168783.34600000002,0.58,20
168883.34600000002,0.58,21
168983.34600000002,0.58,21
169083.34600000002,0.58,20
169183.34600000002,0.58,20
169283.34600000002,0.58,21
169383.34600000002,0.58,21
169483.34600000002,0.58,20
169583.34600000002,0.58,20
169683.34600000002,0.58,21
169783.34600000002,0.58,21
169883.34600000002,0.58,22
169983.34600000002,0.58,22
170083.34600000002,0.58,21
170183.34600000002,0.58,21
170283.34600000002,0.58,21
170383.34600000002,0.58,21
170483.34600000002,0.58,22
170583.34600000002,0.58,22
170683.34600000002,0.58,22
170783.34600000002,0.58,22
170883.34600000002,0.58,22
170983.34600000002,0.58,22
171083.34600000002,0.58,21
171183.34600000002,0.58,21
171283.34600000002,0.59,20
171383.34600000002,0.59,20
171483.34600000002,0.59,21
171583.34600000002,0.59,21
171683.34600000002,0.59,20
171783.34600000002,0.59,20
171883.34600000002,0.59,22
171983.34600000002,0.59,22
172083.34600000002,0.59,22
172183.34600000002,0.59,22
172283.34600000002,0.59,20
172383.34600000002,0.59,20
172483.34600000002,0.59,21
172583.34600000002,0.59,21
172683.34600000002,0.59,20
172783.34600000002,0.59,20
172883.34600000002,0.59,20
172983.34600000002,0.59,20
173083.34600000002,0.59,19
173183.34600000002,0.59,19
173283.34600000002,0.59,19
173383.34600000002,0.59,19
173483.34600000002,0.59,19
173583.34600000002,0.59,19
173683.34600000002,0.59,20
173783.34600000002,0.59,20
173883.34600000002,0.59,20
173983.34600000002,0.59,20
174083.34600000002,0.59,19
174183.34600000002,0.59,19
174283.34600000002,0.59,20
174383.34600000002,0.59,20
174483.34600000002,0.59,20
174583.34600000002,0.59,20
174683.34600000002,0.59,21
174783.34600000002,0.59,21
174883.34600000002,0.59,21
174983.34600000002,0.59,21
175083.34600000002,0.59,20
175183.34600000002,0.59,20
175283.34600000002,0.59,19
175383.34600000002,0.59,19
