timestamp(ms),RFND[0].Dist
1112578.2008873927,1.44
1112678.2008873927,1.44
1112778.2008873927,1.43
1112878.2008873927,1.46
1112978.2008873927,1.43
1113078.2008873927,1.41
1113178.2008873927,1.48
1113278.2008873927,1.43
1113378.2008873927,1.46
1113478.2008873927,1.49
1113578.2008873927,1.46
1113678.2008873927,1.5
1113778.2008873927,1.45
1113878.2008873927,1.38
1113978.2008873927,1.49
1114078.2008873927,1.38
1114178.2008873927,1.62
1114278.2008873927,1.45
1114378.2008873927,1.43
1114478.2008873927,1.46
1114578.2008873927,1.42
1114678.2008873927,1.42
1114778.2008873927,1.68
1114878.2008873927,1.5
1114978.2008873927,1.42
1115078.2008873927,1.4
1115178.2008873927,1.46
1115278.2008873927,1.46
1115378.2008873927,1.45
1115478.2008873927,1.48
1115578.2008873927,1.53
1115678.2008873927,1.45
1115778.2008873927,1.48
1115878.2008873927,1.59
1115978.2008873927,1.51
1116078.2008873927,1.44
1116178.2008873927,1.47
1116278.2008873927,1.46
1116378.2008873927,1.54
1116478.2008873927,1.44
1116578.2008873927,1.48
1116678.2008873927,1.42
1116778.2008873927,1.47
1116878.2008873927,1.44
1116978.2008873927,1.4
1117078.2008873927,1.42
1117178.2008873927,1.42
1117278.2008873927,1.42
1117378.2008873927,1.45
1117478.2008873927,1.43
1117578.2008873927,1.42
1117678.2008873927,1.38
1117778.2008873927,1.39
1117878.2008873927,1.47
1117978.2008873927,1.42
1118078.2008873927,1.45
1118178.2008873927,1.44
1118278.2008873927,1.42
1118378.2008873927,1.42
1118478.2008873927,1.37
1118578.2008873927,1.45
1118678.2008873927,1.37
1118778.2008873927,1.39
1118878.2008873927,1.38
1118978.2008873927,1.36
1119078.2008873927,1.36
1119178.2008873927,1.36
1119278.2008873927,1.4
1119378.2008873927,1.32
1119478.2008873927,1.32
1119578.2008873927,1.29
1119678.2008873927,1.28
1119778.2008873927,1.32
1119878.2008873927,1.31
1119978.2008873927,1.27
1120078.2008873927,1.16
1120178.2008873927,1.28
1120278.2008873927,1.3
1120378.2008873927,1.31
1120478.2008873927,1.28
1120578.2008873927,1.29
1120678.2008873927,1.26
1120778.2008873927,1.27
1120878.2008873927,1.27
1120978.2008873927,1.26
1121078.2008873927,1.18
1121178.2008873927,1.31
1121278.2008873927,1.3
1121378.2008873927,1.26
1121478.2008873927,1.33
1121578.2008873927,1.26
1121678.2008873927,1.26
1121778.2008873927,1.22
1121878.2008873927,1.22
1121978.2008873927,1.23
1122078.2008873927,1.18
1122178.2008873927,1.18
1122278.2008873927,1.26
1122378.2008873927,1.3
1122478.2008873927,1.24
1122578.2008873927,1.25
1122678.2008873927,1.17
1122778.2008873927,1.21
1122878.2008873927,1.17
1122978.2008873927,1.18
1123078.2008873927,1.19
1123178.2008873927,1.17
1123278.2008873927,1.15
1123378.2008873927,1.11
1123478.2008873927,1.15
1123578.2008873927,1.11
1123678.2008873927,1.12
1123778.2008873927,1.12
1123878.2008873927,1.09
1123978.2008873927,1.13
1124078.2008873927,1.13
1124178.2008873927,1.1
1124278.2008873927,1.12
1124378.2008873927,1.14
1124478.2008873927,1.17
1124578.2008873927,1.16
1124678.2008873927,1.11
1124778.2008873927,1.12
1124878.2008873927,1.07
1124978.2008873927,1.19
1125078.2008873927,1.09
1125178.2008873927,1.07
1125278.2008873927,1.13
1125378.2008873927,1.13
1125478.2008873927,1.11
1125578.2008873927,1.19
1125678.2008873927,0.99
1125778.2008873927,1.05
1125878.2008873927,1.17
1125978.2008873927,1.12
1126078.2008873927,1.09
1126178.2008873927,0.97
1126278.2008873927,1.06
1126378.2008873927,0.97
1126478.2008873927,1.01
1126578.2008873927,1.06
1126678.2008873927,1.09
1126778.2008873927,1.23
1126878.2008873927,1.07
1126978.2008873927,1.17
1127078.2008873927,1.13
1127178.2008873927,1.11
1127278.2008873927,1.06
1127378.2008873927,1.04
1127478.2008873927,1.17
1127578.2008873927,1.11
1127678.2008873927,1.12
1127778.2008873927,1.05
1127878.2008873927,1.08
1127978.2008873927,1.16
1128078.2008873927,1.25
1128178.2008873927,1.15
1128278.2008873927,1.24
1128378.2008873927,1.12
1128478.2008873927,1.08
1128578.2008873927,1.2
1128678.2008873927,1.18
1128778.2008873927,1.18
1128878.2008873927,1.14
1128978.2008873927,1.18
1129078.2008873927,1.12
1129178.2008873927,1.23
1129278.2008873927,1.19
1129378.2008873927,1.21
1129478.2008873927,1.06
1129578.2008873927,1.12
1129678.2008873927,1.29
1129778.2008873927,1.12
1129878.2008873927,1.04
1129978.2008873927,1.05
1130078.2008873927,1.15
1130178.2008873927,1.14
1130278.2008873927,1.14
1130378.2008873927,1.15
1130478.2008873927,1.13
1130578.2008873927,1.1
1130678.2008873927,1.09
1130778.2008873927,1.16
1130878.2008873927,1.08
1130978.2008873927,1.22
1131078.2008873927,1.05
1131178.2008873927,1.13
1131278.2008873927,1.16
1131378.2008873927,1.12
1131478.2008873927,1.13
1131578.2008873927,1.01
1131678.2008873927,1.04
1131778.2008873927,1.04
1131878.2008873927,1.06
1131978.2008873927,1.11
1132078.2008873927,1.19
1132178.2008873927,1.14
1132278.2008873927,1.12
1132378.2008873927,1.14
1132478.2008873927,1.14
1132578.2008873927,1.07
1132678.2008873927,1.05
1132778.2008873927,1.02
